CustomerID,InvoiceDate,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
12346.0,2011-01-18 10:17:00,325,2,0.0,1,1,1,111,At Risk
12347.0,2011-12-07 15:52:00,1,182,4310.0,5,5,5,555,Champion
12348.0,2011-09-25 13:13:00,74,31,1797.24,2,3,4,234,Others
12349.0,2011-11-21 09:51:00,18,73,1757.55,4,4,4,444,Others
12350.0,2011-02-02 16:01:00,309,17,334.4,1,2,2,122,At Risk
12352.0,2011-11-03 14:37:00,35,95,1545.41,3,4,4,344,Others
12353.0,2011-05-19 17:47:00,203,4,89.0,1,1,1,111,At Risk
12354.0,2011-04-21 13:11:00,231,58,1079.4,1,3,4,134,At Risk
12355.0,2011-05-09 13:49:00,213,13,459.4,1,1,2,112,At Risk
12356.0,2011-11-17 08:40:00,22,59,2811.43,4,4,5,445,Big Spenders
12357.0,2011-11-06 16:07:00,32,131,6207.67,3,5,5,355,Loyal
12358.0,2011-12-08 10:26:00,1,19,1168.06,5,2,4,524,Potential Loyalist
12359.0,2011-12-02 11:21:00,7,254,6245.53,5,5,5,555,Champion
12360.0,2011-10-18 15:22:00,51,129,2662.06,3,5,5,355,Loyal
12361.0,2011-02-25 13:51:00,286,10,189.9,1,1,1,111,At Risk
12362.0,2011-12-06 15:40:00,2,274,5154.58,5,5,5,555,Champion
12363.0,2011-08-22 10:18:00,109,23,552.0,2,2,3,223,Others
12364.0,2011-12-02 10:22:00,7,85,1313.1,5,4,4,544,Others
12365.0,2011-02-21 14:04:00,290,23,320.69,1,2,2,122,At Risk
12367.0,2011-12-05 16:48:00,3,11,168.9,5,1,1,511,Others
12370.0,2011-10-19 14:51:00,50,167,3545.69,3,5,5,355,Loyal
12371.0,2011-10-26 10:16:00,44,63,1887.96,3,4,4,344,Others
12372.0,2011-09-29 12:12:00,71,52,1298.04,2,3,4,234,Others
12373.0,2011-02-01 13:10:00,310,14,364.6,1,1,2,112,At Risk
12374.0,2011-11-14 15:37:00,24,33,742.9300000000001,4,3,3,433,Potential Loyalist
12375.0,2011-12-07 11:27:00,2,18,455.42,5,2,2,522,Potential Loyalist
12377.0,2011-01-28 15:45:00,314,77,1628.12,1,4,4,144,At Risk
12378.0,2011-08-02 10:34:00,129,219,4008.62,2,5,5,255,Loyal
12379.0,2011-09-19 10:09:00,81,41,850.29,2,3,3,233,Others
12380.0,2011-11-18 11:27:00,21,105,2720.56,4,4,5,445,Big Spenders
12381.0,2011-12-05 12:44:00,4,91,1803.96,5,4,4,544,Others
12383.0,2011-06-08 08:02:00,184,100,1839.31,1,4,4,144,At Risk
12384.0,2011-11-11 08:39:00,28,30,566.16,4,3,3,433,Potential Loyalist
12386.0,2011-01-06 12:37:00,337,10,401.9,1,1,2,112,At Risk
12388.0,2011-11-24 12:30:00,15,100,2780.66,4,4,5,445,Big Spenders
12390.0,2011-09-21 09:33:00,79,32,549.84,2,3,3,233,Others
12391.0,2011-11-18 12:07:00,21,100,460.89,4,4,2,442,Others
12393.0,2011-09-28 15:41:00,71,64,1582.6000000000001,2,4,4,244,Others
12394.0,2011-10-07 08:08:00,63,27,1272.48,3,2,4,324,Others
12395.0,2011-11-24 12:20:00,15,159,2998.28,4,5,5,455,Loyal
12397.0,2011-11-04 09:52:00,35,126,2409.9,3,5,5,355,Loyal
12398.0,2011-10-25 10:27:00,45,85,1635.6599999999999,3,4,4,344,Others
12399.0,2011-08-12 13:15:00,118,59,1108.65,2,4,4,244,Others
12401.0,2011-02-09 13:50:00,302,5,84.3,1,1,1,111,At Risk
12402.0,2011-01-20 13:49:00,322,11,225.6,1,1,1,111,At Risk
